 baseline_total baseline_best total the_best top_95 top_90 top_80
1 0.50101923 0.00101 0.75056405 0.00756 0.19354 0.13106 0.19069
2 0.50021593 0.00087 0.83316242 0.01325 0.29002 0.16926 0.21163
3 0.5021396 0.00119 0.87467137 0.01777 0.36711 0.18744 0.20893
4 0.4995974 0.00095 0.89887682 0.02242 0.42628 0.19653 0.19825
5 0.49983233 0.00095 0.91500143 0.02679 0.47664 0.20061 0.18145
6 0.49960336 0.00091 0.92634405 0.03113 0.5178 0.20028 0.16551
7 0.50153745 0.00109 0.93475962 0.03518 0.55472 0.19761 0.14728
8 0.49952992 0.00088 0.94120649 0.0393 0.58597 0.19294 0.13075
9 0.49990437 0.00103 0.94634475 0.04304 0.6142 0.18531 0.1169
10 0.50116728 0.001 0.95045349 0.04697 0.63959 0.17699 0.10294
11 0.50115431 0.00113 0.95371708 0.05039 0.66174 0.16931 0.08991
12 0.4998694 0.00114 0.95641345 0.05381 0.68076 0.161 0.07924
13 0.49831944 0.0009 0.95863694 0.05711 0.69716 0.15369 0.06902
14 0.4997918 0.00101 0.96048149 0.06032 0.7118 0.14563 0.06062
15 0.50064628 0.00096 0.96204987 0.06374 0.72523 0.137 0.05322
16 0.50237636 0.00086 0.96347728 0.06712 0.73693 0.12906 0.04652
17 0.50125242 0.00093 0.96467906 0.07063 0.7471 0.12159 0.04042
18 0.49963768 0.00111 0.96555102 0.07336 0.75647 0.11417 0.03545
19 0.50120889 0.00095 0.96643798 0.07609 0.76451 0.10757 0.03098
20 0.50037526 0.00118 0.96697487 0.07872 0.77118 0.10123 0.02744
21 0.50061283 0.00095 0.96749825 0.08194 0.77638 0.09548 0.02415
22 0.49986192 0.00097 0.96800602 0.08512 0.78118 0.09014 0.02077
23 0.50031919 0.00094 0.96844033 0.08822 0.78544 0.08462 0.01821
24 0.50133193 0.00103 0.96888887 0.0907 0.78998 0.07927 0.01569
25 0.50107869 0.00103 0.96913735 0.09342 0.79332 0.07415 0.01384
26 0.50097188 0.001 0.96928533 0.09652 0.79563 0.06972 0.01197
27 0.49953826 0.00109 0.96939431 0.09895 0.79767 0.06565 0.0105
28 0.5009115 0.00108 0.96942789 0.10131 0.79928 0.06182 0.00932
29 0.49887814 0.00106 0.96950402 0.10383 0.80055 0.05818 0.00811
30 0.50112077 0.00097 0.96954745 0.10654 0.8016 0.05479 0.00681
31 0.50137055 0.00108 0.96949784 0.10875 0.80264 0.05117 0.0061
32 0.50231792 0.00088 0.96954414 0.11133 0.80335 0.04771 0.0054
33 0.49937892 0.00091 0.96953581 0.11383 0.80327 0.04502 0.00477
34 0.49832729 0.00088 0.96947933 0.11669 0.80261 0.04256 0.00415
35 0.50024494 0.001 0.96938742 0.11884 0.80301 0.03963 0.00354
