 baseline_total baseline_best total the_best top_95 top_90 top_80
1 0.49997694 0.00107 0.74977993 0.0078 0.19343 0.12911 0.19253
2 0.50058813 0.00107 0.8329459 0.01329 0.29125 0.16714 0.21319
3 0.50043832 0.0011 0.87416713 0.01798 0.36626 0.18569 0.21115
4 0.49895692 0.00113 0.89843058 0.02272 0.42564 0.19531 0.19958
5 0.50150775 0.00086 0.91476122 0.02727 0.47643 0.1986 0.18298
6 0.50071576 0.001 0.92612703 0.03188 0.51778 0.19853 0.1663
7 0.5011397 0.00087 0.93478807 0.03595 0.55614 0.19447 0.14822
8 0.50133446 0.00088 0.94116537 0.04024 0.58636 0.19025 0.13194
9 0.50112196 0.00116 0.94612642 0.04378 0.61442 0.18333 0.11723
10 0.50054907 0.00106 0.95022654 0.04732 0.63939 0.17672 0.10254
11 0.50130329 0.00099 0.95348402 0.05138 0.66059 0.16857 0.09025
12 0.49966243 0.00093 0.95620323 0.05454 0.67998 0.16061 0.07919
13 0.49996113 0.00086 0.95850916 0.05814 0.69584 0.1533 0.0695
14 0.50103106 0.00103 0.96039767 0.06135 0.71118 0.14485 0.06069
15 0.50178702 0.00088 0.96203537 0.06466 0.72355 0.13781 0.05326
16 0.49841383 0.00096 0.96336364 0.06778 0.73514 0.13007 0.04681
17 0.50065465 0.001 0.96446294 0.07089 0.74493 0.12292 0.04102
18 0.5004293 0.00103 0.96537939 0.07381 0.75371 0.11588 0.03602
19 0.5000465 0.00105 0.96613842 0.07665 0.76157 0.10911 0.03173
20 0.49930758 0.00098 0.96682606 0.07959 0.76825 0.10288 0.02784
21 0.49956245 0.00089 0.96746901 0.08236 0.77491 0.09661 0.02423
22 0.5008333 0.00098 0.96793647 0.08489 0.78056 0.09075 0.02114
23 0.49918312 0.00108 0.968302 0.08747 0.78513 0.08542 0.01841
24 0.50107996 0.00098 0.96863565 0.0905 0.78898 0.07958 0.01648
25 0.50175639 0.00095 0.96894442 0.09337 0.79249 0.07473 0.01414
26 0.49968464 0.00119 0.96899411 0.09618 0.79469 0.07038 0.01236
27 0.50225249 0.00099 0.96920121 0.0985 0.79802 0.0653 0.0109
28 0.50090369 0.0011 0.96921907 0.10087 0.79992 0.06125 0.0096
29 0.49871256 0.00114 0.96922844 0.10321 0.80143 0.05757 0.00837
30 0.50286371 0.00118 0.96919029 0.10548 0.80249 0.05404 0.00742
31 0.50062793 0.00095 0.96920584 0.10821 0.8028 0.05113 0.0064
32 0.5005747 0.00116 0.9690269 0.11042 0.80333 0.04795 0.0057
33 0.50092318 0.00098 0.9689877 0.11334 0.80322 0.04498 0.00491
34 0.50099167 0.00107 0.96888565 0.11538 0.80349 0.04225 0.00426
35 0.50035323 0.00101 0.96878034 0.11783 0.80315 0.0396 0.00382
36 0.50092577 0.00092 0.9686528 0.12018 0.80274 0.03721 0.00335
37 0.50033631 0.00091 0.96850735 0.12238 0.80249 0.0347 0.003
38 0.50057998 0.00095 0.96836325 0.12478 0.80182 0.03241 0.00261
39 0.50144022 0.00097 0.96824316 0.12743 0.80072 0.03021 0.00229
40 0.50173807 0.00104 0.96807571 0.12968 0.79971 0.02821 0.00201
41 0.49978456 0.00099 0.96786429 0.13224 0.7982 0.02647 0.00172
42 0.49866322 0.00103 0.96765587 0.1343 0.7969 0.02488 0.00152
43 0.50192688 0.00118 0.96735115 0.13644 0.79559 0.02313 0.00128
44 0.4978194 0.00099 0.96712408 0.13828 0.79457 0.02149 0.00111
45 0.50137564 0.0011 0.96686783 0.14031 0.79295 0.02015 0.00094
46 0.49989132 0.00099 0.96663128 0.14246 0.79105 0.01894 0.00091
47 0.49934347 0.00107 0.96630906 0.14458 0.78922 0.0177 0.0008
48 0.50172954 0.00096 0.96604566 0.14647 0.78761 0.01653 0.00073
49 0.50184977 0.00099 0.96575358 0.14851 0.78559 0.01562 0.00063
50 0.50193319 0.00111 0.96540652 0.15053 0.78355 0.01462 0.00054
51 0.49907208 0.00104 0.96505418 0.15232 0.78169 0.01369 0.0005
52 0.50004456 0.001 0.96476419 0.15392 0.7799 0.01293 0.00045
53 0.50058708 0.0011 0.9644095 0.15577 0.77792 0.01199 0.00042
54 0.49977032 0.00103 0.96401823 0.1578 0.77558 0.01131 0.00038
55 0.49962153 0.00101 0.96363805 0.15944 0.77378 0.01051 0.00033
56 0.5010684 0.001 0.96329949 0.16108 0.77201 0.00971 0.00026
57 0.5002711 0.00089 0.96299005 0.16292 0.76982 0.00918 0.00025
58 0.50032606 0.00093 0.96271004 0.16498 0.76747 0.00861 0.00018
59 0.5016201 0.00106 0.96230538 0.16699 0.76493 0.0081 0.00016
60 0.50144984 0.00096 0.96196123 0.16892 0.76265 0.00749 0.00016
61 0.50100508 0.00102 0.96162272 0.17097 0.75998 0.00712 0.00013
62 0.50020535 0.00091 0.96130998 0.17255 0.75785 0.00676 0.00013
63 0.50155546 0.00084 0.96107847 0.17448 0.75548 0.00638 0.00011
64 0.50044364 0.00097 0.96075007 0.17598 0.75348 0.00593 9e-05
65 0.49964849 0.00095 0.96037245 0.17777 0.75111 0.00558 7e-05
66 0.50146714 0.00096 0.96004167 0.1796 0.7486 0.0053 7e-05
67 0.49976139 0.00103 0.95963244 0.18143 0.74613 0.00491 7e-05
68 0.50116685 0.00104 0.95919071 0.18322 0.74361 0.00461 6e-05
69 0.4994393 0.00092 0.95883537 0.18517 0.74112 0.00425 4e-05
70 0.50040616 0.0009 0.95848351 0.18711 0.73855 0.00398 4e-05
71 0.49990085 0.00103 0.95807912 0.18848 0.73643 0.0037 4e-05
72 0.49986884 0.00108 0.95763351 0.18996 0.73414 0.00343 4e-05
73 0.50150054 0.00104 0.95720763 0.19184 0.73146 0.00319 4e-05
74 0.50212533 0.00103 0.95684473 0.19364 0.72876 0.00306 4e-05
75 0.50107135 0.00097 0.95639786 0.19528 0.72633 0.0029 2e-05
76 0.50051174 0.00079 0.95607468 0.19686 0.72414 0.00273 1e-05
77 0.5000957 0.00102 0.95563221 0.19853 0.72164 0.00254 1e-05
78 0.50122167 0.00109 0.95513476 0.19984 0.71939 0.00239 1e-05
79 0.5010963 0.00081 0.95478831 0.20166 0.71686 0.00229 1e-05
80 0.49966634 0.00103 0.95432026 0.20328 0.71436 0.00214 1e-05
81 0.501078 0.00095 0.95394039 0.20485 0.71199 0.00199 1e-05
82 0.50205545 0.00088 0.95357835 0.20667 0.70941 0.00187 1e-05
83 0.50096274 0.00095 0.95317731 0.20804 0.70724 0.00172 1e-05
84 0.50106414 0.00104 0.95278016 0.20971 0.70458 0.00167 1e-05
85 0.50011337 0.00108 0.95228141 0.21096 0.70235 0.00157 1e-05
86 0.50054766 0.00118 0.951765 0.2124 0.69983 0.00147 1e-05
87 0.49934408 0.00093 0.95138623 0.21398 0.69745 0.00135 0.0
88 0.50118888 0.00093 0.95094732 0.21542 0.69518 0.00125 0.0
89 0.50099926 0.00101 0.95049163 0.21679 0.69286 0.00119 0.0
90 0.4994644 0.00092 0.95009273 0.21789 0.69092 0.00111 0.0
91 0.50038041 0.00101 0.949679 0.21916 0.68868 0.00107 0.0
92 0.50218534 0.00102 0.94926692 0.22026 0.68662 0.00101 0.0
