 baseline_total baseline_best total the_best top_95 top_90 top_80
1 0.4998095 0.00103 0.74978181 0.00767 0.19356 0.13092 0.1901
2 0.50248033 0.00116 0.83320784 0.01295 0.29206 0.16691 0.21146
3 0.5002135 0.00099 0.87424637 0.01815 0.36644 0.18701 0.20772
4 0.49903398 0.00102 0.89878622 0.02274 0.4269 0.19635 0.19627
5 0.50131261 0.00114 0.91493308 0.02706 0.4766 0.20001 0.1812
6 0.50144779 0.00112 0.92634916 0.03152 0.51992 0.19877 0.16358
7 0.49878351 0.00094 0.93481405 0.03515 0.55731 0.19527 0.14622
8 0.50082779 0.00098 0.94129139 0.03929 0.58956 0.18945 0.13016
9 0.50053209 0.00118 0.94615259 0.0428 0.61667 0.1832 0.11579
10 0.50005608 0.00089 0.95027806 0.04648 0.642 0.17485 0.1023
11 0.50009286 0.00076 0.95365389 0.05041 0.66281 0.16808 0.08967
12 0.50126495 0.00112 0.95634387 0.05402 0.68213 0.15949 0.07869
13 0.50018607 0.00102 0.9586231 0.05769 0.69819 0.15199 0.06865
14 0.49986361 0.00096 0.96055949 0.06119 0.71244 0.14452 0.0599
15 0.50032676 0.0011 0.96203404 0.06427 0.72548 0.1365 0.05242
16 0.50152674 0.00113 0.96330653 0.06706 0.73784 0.12859 0.0454
17 0.50030219 0.00087 0.96442814 0.0705 0.74741 0.12102 0.04006
18 0.50055423 0.00102 0.96538037 0.07383 0.75588 0.11369 0.03544
19 0.50016953 0.00118 0.96610664 0.0765 0.76377 0.10705 0.03097
20 0.50031322 0.00092 0.96680906 0.07938 0.77028 0.10089 0.02733
21 0.49942288 0.00104 0.96732521 0.082 0.77619 0.09488 0.02412
22 0.49965093 0.00113 0.96778868 0.08449 0.78205 0.08901 0.02082
23 0.50013838 0.00093 0.96823827 0.08732 0.78604 0.08401 0.01835
24 0.50115633 0.00119 0.96843714 0.08987 0.78979 0.0789 0.01613
25 0.50114967 0.00096 0.9687748 0.09253 0.79292 0.07415 0.01427
26 0.50185019 0.00106 0.96896602 0.09499 0.79644 0.06928 0.01218
27 0.50098194 0.00095 0.96917839 0.09744 0.79915 0.06514 0.01028
28 0.49998029 0.00093 0.96930147 0.10003 0.80105 0.06106 0.00898
29 0.50022331 0.00095 0.96942128 0.10282 0.80248 0.05707 0.0078
30 0.4996058 0.0009 0.96949888 0.1055 0.80337 0.05362 0.0068
31 0.50143806 0.00113 0.96950366 0.10824 0.80398 0.04999 0.00597
32 0.50170841 0.00118 0.96941586 0.11065 0.8044 0.04667 0.00529
33 0.50169858 0.00092 0.96940806 0.11314 0.80495 0.04334 0.00468
34 0.50094858 0.00101 0.96931904 0.11538 0.80505 0.04061 0.00408
35 0.50104148 0.00093 0.96925721 0.11765 0.80513 0.03786 0.00356
36 0.50099892 0.00101 0.96920298 0.11979 0.80501 0.03535 0.00306
37 0.50079037 0.00109 0.9690161 0.122 0.80428 0.03318 0.00267
38 0.50132543 0.00098 0.96888182 0.12448 0.80325 0.03107 0.00236
39 0.50096078 0.00104 0.96866786 0.12679 0.80221 0.02907 0.00205
40 0.49925097 0.00111 0.96835164 0.12918 0.80082 0.02722 0.00179
41 0.49958798 0.00093 0.96816706 0.1314 0.79975 0.02535 0.00158
42 0.50023306 0.00096 0.96795255 0.13384 0.79841 0.02351 0.00138
43 0.50129123 0.00097 0.96773778 0.13593 0.79693 0.02203 0.00128
44 0.50023668 0.00095 0.96748721 0.13786 0.79561 0.02061 0.00114
45 0.50093813 0.00087 0.96729729 0.14046 0.7937 0.01916 0.00103
46 0.49909911 0.00097 0.96709418 0.14255 0.79215 0.01777 0.00091
47 0.50106932 0.00096 0.96681503 0.14445 0.79062 0.01658 0.00077
48 0.50098751 0.00089 0.96660465 0.14657 0.78859 0.01569 0.00068
49 0.50150115 0.00099 0.96631693 0.14876 0.7865 0.01466 0.00062
50 0.50212726 0.00102 0.96596217 0.15064 0.78457 0.01372 0.00059
51 0.50040036 0.0012 0.96548929 0.15225 0.78261 0.01295 0.00051
52 0.50044594 0.00107 0.96515082 0.15429 0.78024 0.01227 0.00045
53 0.49910828 0.00083 0.9649327 0.15649 0.77817 0.01133 0.00043
54 0.50031633 0.00106 0.96456288 0.15833 0.7761 0.01059 0.00034
55 0.50113198 0.00114 0.96415297 0.16019 0.77385 0.00986 0.00032
56 0.5022943 0.00108 0.96376723 0.16182 0.7717 0.00939 0.00023
57 0.50106608 0.00101 0.96341894 0.16376 0.76936 0.0088 0.00021
58 0.50106198 0.00111 0.96300377 0.1656 0.76696 0.00827 0.00019
59 0.50137604 0.00101 0.96261649 0.16738 0.76471 0.00775 0.00017
60 0.5010459 0.00086 0.96235112 0.16913 0.76274 0.00712 0.00016
61 0.50013876 0.0009 0.96197441 0.17123 0.76026 0.00661 0.00015
62 0.50041438 0.00107 0.96158439 0.17279 0.75794 0.00631 0.00014
63 0.500725 0.00092 0.96125173 0.17442 0.75589 0.00581 0.00014
64 0.50013406 0.001 0.96085325 0.17622 0.75345 0.00547 0.00012
65 0.50126139 0.00085 0.96054624 0.17797 0.75128 0.00508 8e-05
66 0.50028805 0.001 0.96011304 0.17966 0.7489 0.00479 6e-05
67 0.5004344 0.00112 0.95967553 0.18134 0.74652 0.00437 6e-05
68 0.49907445 0.00095 0.95931489 0.1831 0.74414 0.00404 6e-05
69 0.50056651 0.00088 0.95898722 0.18498 0.74156 0.00386 6e-05
70 0.50041322 0.00114 0.9585281 0.18672 0.73895 0.00361 4e-05
71 0.50151433 0.00088 0.95819347 0.18854 0.73647 0.00339 4e-05
72 0.50221832 0.00111 0.9577512 0.19023 0.73392 0.00314 4e-05
73 0.4995666 0.00115 0.95730683 0.19203 0.73122 0.0029 3e-05
74 0.50089408 0.00104 0.95685726 0.19383 0.72867 0.00261 3e-05
75 0.50030016 0.0009 0.95651938 0.19535 0.72646 0.0024 3e-05
76 0.50117191 0.00109 0.95602278 0.19673 0.72419 0.00221 2e-05
77 0.49993851 0.00079 0.95574294 0.19848 0.72182 0.00205 1e-05
78 0.50073624 0.00094 0.95538783 0.20022 0.71928 0.00192 0.0
79 0.5003808 0.00106 0.95488281 0.2018 0.71676 0.0018 0.0
80 0.50015082 0.00093 0.95452751 0.20339 0.71437 0.00167 0.0
81 0.50064497 0.00108 0.95411093 0.20482 0.71202 0.00151 0.0
82 0.50170569 0.00107 0.95364238 0.20614 0.70974 0.0014 0.0
83 0.50003594 0.0011 0.95318265 0.20733 0.70751 0.00134 0.0
84 0.50136767 0.00082 0.95284886 0.20929 0.70484 0.00123 0.0
85 0.50198983 0.0009 0.95245233 0.2106 0.70274 0.00112 0.0
86 0.50018746 0.00103 0.95197361 0.21201 0.70034 0.00108 0.0
87 0.50096098 0.00093 0.95151346 0.21368 0.6978 0.00102 0.0
88 0.49955638 0.00094 0.95112621 0.21512 0.69548 0.00096 0.0
89 0.50050948 0.00092 0.9507217 0.21658 0.69317 0.00089 0.0
90 0.50020128 0.00114 0.95021204 0.21789 0.69081 0.0008 0.0
91 0.49923642 0.00096 0.94979905 0.21913 0.68863 0.00078 0.0
92 0.50098608 0.00109 0.94929808 0.22037 0.68634 0.00074 0.0
93 0.50069997 0.00086 0.94892756 0.22193 0.68396 0.0007 0.0
94 0.50090854 0.00105 0.94846632 0.22329 0.6816 0.00065 0.0
95 0.50033945 0.00115 0.94794081 0.22434 0.67944 0.00061 0.0
96 0.49943286 0.00107 0.94741938 0.22585 0.67688 0.00059 0.0
97 0.50087993 0.00105 0.94692164 0.22725 0.67448 0.00054 0.0
98 0.50045987 0.00103 0.94645649 0.22851 0.67222 0.00051 0.0
99 0.50098018 0.00102 0.94601621 0.22965 0.67011 0.00046 0.0
100 0.50008243 0.00111 0.94550044 0.23088 0.66781 0.00042 0.0
101 0.50284647 0.00094 0.94504709 0.23209 0.66568 0.0004 0.0
102 0.50126548 0.00112 0.94449273 0.23334 0.66335 0.00036 0.0
103 0.50222403 0.00097 0.94400661 0.23443 0.66132 0.00033 0.0
104 0.5003387 0.001 0.94354077 0.23572 0.65906 0.0003 0.0
105 0.49966454 0.00103 0.94307887 0.2368 0.65698 0.00027 0.0
106 0.50018333 0.00106 0.94264784 0.23789 0.65485 0.00025 0.0
107 0.49956782 0.00093 0.94219727 0.23891 0.65291 0.00024 0.0
108 0.49996436 0.00105 0.94174089 0.23999 0.65079 0.00023 0.0
109 0.49864618 0.00085 0.9413014 0.24123 0.64871 0.00022 0.0
110 0.5018054 0.00106 0.94078158 0.24254 0.64634 0.00022 0.0
111 0.49931349 0.00101 0.94031538 0.24381 0.64406 0.00022 0.0
112 0.49897457 0.00114 0.93978342 0.24522 0.64152 0.00021 0.0
113 0.50022106 0.00118 0.93919988 0.24638 0.63918 0.00021 0.0
114 0.50040317 0.0011 0.93866292 0.2474 0.63706 0.00021 0.0
115 0.49977816 0.00093 0.93829532 0.24907 0.63447 0.0002 0.0
116 0.50132685 0.0009 0.93785594 0.25041 0.63224 0.00019 0.0
117 0.50012579 0.00102 0.93734504 0.25137 0.63028 0.00017 0.0
