 baseline_total baseline_best total the_best top_95 top_90 top_80
1 0.50000524 0.00089 0.75023502 0.00737 0.19532 0.12926 0.19029
2 0.50032674 0.001 0.83312847 0.01312 0.29213 0.16613 0.21185
3 0.50117387 0.00098 0.87435912 0.01832 0.36834 0.18496 0.20925
4 0.49968861 0.00106 0.8988497 0.02281 0.42827 0.19468 0.19738
5 0.49964516 0.00106 0.9150477 0.02718 0.47821 0.19855 0.18058
6 0.5009045 0.00102 0.92645046 0.03132 0.52084 0.19864 0.16309
7 0.50190855 0.00095 0.9350588 0.03513 0.55782 0.19588 0.14623
8 0.49959131 0.00099 0.94146804 0.039 0.58912 0.19102 0.12993
9 0.49954549 0.00088 0.94666276 0.04295 0.61758 0.18364 0.11545
10 0.49960021 0.00099 0.95072105 0.04625 0.64177 0.17726 0.10175
11 0.4999922 0.00092 0.95394508 0.04999 0.66281 0.1691 0.08972
12 0.50001496 0.00093 0.95672762 0.05323 0.68226 0.16102 0.07856
13 0.5007185 0.00105 0.95895617 0.05662 0.69855 0.1533 0.0687
14 0.50017645 0.00099 0.9608381 0.06019 0.71259 0.14548 0.06065
15 0.49969513 0.00113 0.96225798 0.06271 0.72514 0.13848 0.05317
16 0.50012132 0.00111 0.96348837 0.06587 0.73679 0.13045 0.04646
17 0.49925884 0.00088 0.96468855 0.06868 0.74729 0.12297 0.04077
18 0.50008329 0.00112 0.9655687 0.07175 0.75581 0.11587 0.03604
19 0.5003075 0.00102 0.96640988 0.07517 0.76329 0.10916 0.03156
20 0.50058718 0.00106 0.96704865 0.07773 0.77054 0.10274 0.02756
21 0.50127036 0.00114 0.96762997 0.08043 0.77666 0.09666 0.02404
22 0.49953575 0.00111 0.9681131 0.08312 0.78158 0.09109 0.02112
23 0.49883483 0.00078 0.96868899 0.08634 0.78608 0.08536 0.01853
24 0.50059994 0.00087 0.96907325 0.08964 0.78914 0.08055 0.01622
25 0.50013263 0.00107 0.96932539 0.09222 0.79268 0.07558 0.01415
26 0.50153209 0.0009 0.96963035 0.09533 0.79571 0.07036 0.01243
27 0.50183637 0.00088 0.96989423 0.09789 0.79847 0.06582 0.01083
28 0.50154522 0.00099 0.97004858 0.10047 0.80049 0.06155 0.00957
29 0.49959529 0.00096 0.97012809 0.10301 0.80203 0.05771 0.00841
30 0.50023421 0.00104 0.97013996 0.10507 0.80337 0.05434 0.00736
31 0.50046284 0.00085 0.97021732 0.10787 0.80415 0.05092 0.00637
32 0.5006684 0.00118 0.970104 0.11011 0.80493 0.04764 0.00547
33 0.50071584 0.00117 0.97002012 0.11226 0.80527 0.04474 0.00471
34 0.50271948 0.00092 0.96999352 0.11468 0.80576 0.04162 0.00401
35 0.49984149 0.00107 0.9697864 0.11669 0.8059 0.03894 0.00347
36 0.50159235 0.00092 0.9697609 0.11918 0.80565 0.03624 0.00302
37 0.49952248 0.00105 0.96952853 0.1213 0.80518 0.03384 0.00272
38 0.50117112 0.00103 0.96930447 0.1236 0.80439 0.03164 0.00239
39 0.50009358 0.00104 0.96913809 0.12593 0.80332 0.02959 0.00214
40 0.50183432 0.00104 0.96894807 0.12821 0.80251 0.02735 0.00187
41 0.49869528 0.001 0.96880114 0.13037 0.80156 0.02541 0.00161
42 0.50067881 0.00112 0.9685397 0.13245 0.80034 0.02359 0.00145
43 0.50018568 0.00104 0.96824471 0.13447 0.79905 0.02199 0.00128
44 0.50003767 0.00112 0.96792044 0.13623 0.79772 0.02057 0.00115
45 0.50132677 0.00087 0.96769496 0.13835 0.79613 0.01932 0.001
46 0.50012351 0.0009 0.96741034 0.14055 0.79438 0.01806 0.00091
47 0.50090428 0.00099 0.96712217 0.14275 0.79229 0.01705 0.00082
48 0.49961397 0.00102 0.9667518 0.14502 0.79002 0.01608 0.00077
49 0.50159335 0.00104 0.96639239 0.14694 0.78818 0.01505 0.00068
50 0.49942993 0.00102 0.96605335 0.14875 0.78644 0.01401 0.00064
51 0.50101432 0.00087 0.96582711 0.15069 0.78479 0.01295 0.00054
52 0.50109309 0.00116 0.96540839 0.15266 0.78248 0.0122 0.00047
53 0.50097069 0.00101 0.96508133 0.15436 0.78058 0.0115 0.00036
