position baseline_total baseline_best total the_best top_95 top_90 top_80
147 0.5151389489 0.0 1.0260557204999998 0.0 0.0 0.0048820999999999995 0.9951165999999999
148 0.5150480942 0.0 1.0262580302000002 0.0 0.0 0.005064299999999999 0.9949343999999999
149 0.5153255410000002 0.0 1.0264599504 0.0 0.0 0.005255899999999997 0.9947429
150 0.5153149329999999 0.0 1.0266615350999997 0.0 0.0 0.0054610000000000014 0.9945378000000001
151 0.5155768989999999 0.0 1.0268637861999999 0.0 0.0 0.0056718 0.9943270000000003
152 0.5154136393999998 0.0 1.0270659511000002 0.0 0.0 0.005877099999999999 0.9941217
153 0.5156972325 0.0 1.0272683235000004 0.0 0.0 0.006089300000000001 0.9939095999999996
154 0.5158257773999998 0.0 1.0274696708999997 0.0 0.0 0.006319900000000002 0.9936791000000003
155 0.5159851597000001 0.0 1.0276704587 0.0 0.0 0.0065700999999999945 0.9934290000000001
156 0.5162091794000001 0.0 1.0278715564 0.0 0.0 0.006808499999999998 0.9931907999999997
157 0.5161376849 0.0 1.0280730204000001 0.0 0.0 0.007050699999999998 0.9929486999999999
158 0.5161015246999999 0.0 1.0282750130999998 0.0 0.0 0.007297300000000001 0.9927020999999998
159 0.5165454304000001 0.0 1.0284758596999999 0.0 0.0 0.007567099999999997 0.9924323000000008
160 0.5165037401000004 0.0 1.0286752549 0.0 0.0 0.007844099999999998 0.9921552999999997
161 0.5166370518000001 0.0 1.0288761617000004 0.0 0.0 0.008128600000000003 0.9918708000000003
162 0.5165893140999998 0.0 1.0290782229999997 0.0 0.0 0.008415100000000003 0.9915842999999999
163 0.5168256377000001 0.0 1.0292793891000003 0.0 0.0 0.008707399999999997 0.9912921000000001
164 0.5168394258 0.0 1.0294797193999998 0.0 0.0 0.009026900000000001 0.9909725999999996
165 0.5169336842 0.0 1.0296801631999997 0.0 0.0 0.0093671 0.9906324000000001
166 0.5171137476999998 0.0 1.0298809614000002 0.0 0.0 0.009692899999999999 0.9903066000000007
167 0.5171616352999999 0.0 1.0300814707999997 0.0 0.0 0.010029600000000003 0.9899699
168 0.5171258206999999 0.0 1.0302816144999998 0.0 0.0 0.010369400000000003 0.9896301999999999
169 0.5173135726000001 0.0 1.0304839911000003 0.0 0.0 0.010745200000000002 0.9892544999999994
170 0.5174391345000001 0.0 1.0306831895 0.0 0.0 0.0111222 0.9888775000000001
171 0.5175327121 0.0 1.0308832045 0.0 0.0 0.0115156 0.9884841
172 0.5178123656 0.0 1.0310844801 0.0 0.0 0.011906700000000003 0.9880929999999998
173 0.5176958536999999 0.0 1.0312856296999997 0.0 0.0 0.0123013 0.9876985000000001
174 0.5178776781 0.0 1.0314865761 0.0 0.0 0.012725999999999994 0.9872738
175 0.5179109995999999 0.0 1.0316858731000003 0.0 0.0 0.0131607 0.9868390999999999
176 0.5181046330000001 0.0 1.031886655 0.0 0.0 0.013619200000000005 0.9863805999999999
177 0.5180205039000001 0.0 1.0320869671999995 0.0 0.0 0.014077099999999995 0.9859226999999998
178 0.5182153419000002 0.0 1.0322876218999997 0.0 0.0 0.014542599999999996 0.9854572
179 0.5183480358999998 0.0 1.0324882418999994 0.0 0.0 0.0150345 0.9849653000000003
180 0.5183418847 0.0 1.0326878595000004 0.0 0.0 0.015561799999999994 0.9844379999999999
181 0.5184982550000001 0.0 1.0328868331 0.0 0.0 0.016081699999999997 0.9839180999999998
182 0.5186669365000001 0.0 1.0330873518999997 0.0 0.0 0.0165886 0.9834112000000002
183 0.5188608027999999 0.0 1.0332890047999999 0.0 0.0 0.017121499999999994 0.9828783
184 0.5186396844000002 0.0 1.0334887365999998 0.0 0.0 0.0176772 0.9823225999999998
185 0.5190166729999998 0.0 1.0336879650999997 0.0 0.0 0.018273499999999998 0.9817262999999999
186 0.5189755354000001 0.0 1.0338873408 0.0 0.0 0.0188779 0.9811219000000001
