 baseline_total baseline_best total the_best top_95 top_90 top_80
1 0.49993664 0.00079 0.75004184 0.00756 0.19727 0.12796 0.19197
2 0.50036945 0.00107 0.83355231 0.01284 0.29281 0.16655 0.21357
3 0.50037449 0.00114 0.8744997 0.01768 0.367 0.18672 0.21081
4 0.50171156 0.00107 0.89891579 0.02223 0.42797 0.19553 0.19895
5 0.50061965 0.00099 0.91492204 0.02639 0.47752 0.19965 0.18265
6 0.50063868 0.00086 0.92643917 0.03056 0.52085 0.19901 0.1642
7 0.49863282 0.00107 0.93467385 0.03436 0.55746 0.19518 0.14695
8 0.50104374 0.00101 0.94123698 0.03848 0.58858 0.19063 0.13096
9 0.50010504 0.00101 0.94639281 0.04252 0.61602 0.18424 0.11645
10 0.50083956 0.001 0.95045348 0.04655 0.64028 0.17632 0.10295
11 0.50138606 0.00101 0.95382091 0.05025 0.66239 0.16738 0.09102
12 0.49997264 0.00095 0.95659946 0.05309 0.68201 0.1596 0.08
13 0.50043518 0.00112 0.95876327 0.0562 0.69821 0.15183 0.07037
14 0.50009741 0.00109 0.96064725 0.05964 0.71213 0.14483 0.06134
15 0.50096851 0.00106 0.96219557 0.06278 0.72495 0.13732 0.0536
16 0.50095137 0.00097 0.96351639 0.06567 0.73663 0.12968 0.04715
17 0.50152738 0.00104 0.96468237 0.06917 0.74657 0.12227 0.04109
18 0.49927637 0.00091 0.96568489 0.07226 0.75561 0.11508 0.03596
19 0.50061455 0.00113 0.96641893 0.07515 0.76261 0.10919 0.03151
20 0.49904608 0.00093 0.96709884 0.07818 0.76941 0.10283 0.02763
21 0.50032012 0.00087 0.96772008 0.08137 0.77459 0.0974 0.02413
22 0.50134715 0.00099 0.96821975 0.08447 0.77963 0.09145 0.02126
23 0.49844526 0.00101 0.96861997 0.08709 0.78414 0.0863 0.01854
24 0.49987364 0.0011 0.96892498 0.08979 0.7881 0.08113 0.01615
25 0.49914662 0.00094 0.96925079 0.09245 0.79221 0.07567 0.01408
26 0.50084319 0.00105 0.96947079 0.09496 0.7953 0.07091 0.0123
27 0.50126892 0.00098 0.96971199 0.09741 0.79811 0.06626 0.01076
28 0.50060821 0.00106 0.9698164 0.10009 0.79995 0.06218 0.00935
29 0.50087557 0.00116 0.96977683 0.10232 0.80152 0.05853 0.00806
30 0.50100123 0.00124 0.96964346 0.1048 0.80276 0.0547 0.00698
31 0.49954799 0.00101 0.96960291 0.10702 0.8035 0.05152 0.00624
32 0.50075545 0.00097 0.96953949 0.10931 0.8043 0.0482 0.00551
33 0.50166343 0.00105 0.96953033 0.11166 0.80472 0.04519 0.00472
34 0.50150257 0.001 0.9694104 0.11401 0.80462 0.04249 0.00418
35 0.50032948 0.00095 0.96937201 0.11635 0.80486 0.03957 0.00358
36 0.50118645 0.00123 0.96912009 0.11849 0.80462 0.03688 0.00315
37 0.49878222 0.00096 0.968987 0.12061 0.80419 0.03461 0.00277
38 0.49859841 0.00107 0.96881667 0.12279 0.80372 0.0322 0.00241
39 0.50020078 0.00111 0.96858951 0.12499 0.80266 0.03029 0.00207
40 0.50022707 0.00086 0.9684554 0.12722 0.80205 0.02816 0.00172
41 0.50160126 0.00105 0.96822932 0.12972 0.80044 0.02657 0.00138
42 0.50094625 0.00108 0.96790207 0.13162 0.79911 0.02512 0.00118
43 0.50092403 0.00093 0.96773701 0.13425 0.79751 0.02332 0.00102
44 0.50157388 0.00088 0.96756158 0.13649 0.79618 0.02166 0.0009
45 0.50031945 0.00103 0.96726945 0.13865 0.79451 0.02026 0.00078
46 0.50196089 0.00112 0.96695897 0.14021 0.79333 0.01883 0.00071
47 0.50068681 0.00099 0.96667517 0.1422 0.79168 0.0176 0.00061
48 0.50098312 0.00123 0.9663021 0.14404 0.78993 0.01639 0.0005
49 0.50145425 0.00101 0.9659978 0.14607 0.78802 0.01536 0.0004
50 0.50160054 0.00105 0.96567494 0.14797 0.7861 0.01436 0.00037
51 0.50038154 0.00085 0.96538392 0.15012 0.78393 0.01359 0.00031
52 0.50163632 0.00099 0.96506847 0.15204 0.78195 0.0127 0.00027
53 0.5014708 0.00106 0.96474544 0.15364 0.78012 0.01189 0.00025
54 0.50121786 0.00096 0.9644464 0.15526 0.77839 0.01107 0.00022
55 0.50065848 0.00116 0.96399116 0.15722 0.77601 0.01035 0.0002
56 0.50068743 0.00087 0.96370738 0.15909 0.7739 0.00973 0.00019
57 0.50215105 0.00107 0.96335302 0.16099 0.77157 0.00913 0.00015
58 0.50079799 0.00102 0.96296837 0.16278 0.76934 0.00856 0.00014
59 0.50002206 0.00094 0.96267815 0.16477 0.76703 0.00795 0.00013
60 0.50067031 0.00088 0.96234776 0.16665 0.76475 0.00749 0.00011
61 0.49978281 0.00089 0.96203891 0.16837 0.76267 0.00696 0.00011
62 0.49971116 0.00098 0.9616515 0.17067 0.75984 0.00653 9e-05
63 0.50043256 0.00104 0.96127014 0.17225 0.75774 0.00601 9e-05
64 0.5018207 0.00104 0.96086485 0.1739 0.75549 0.00559 7e-05
65 0.50167609 0.00115 0.96042718 0.17562 0.75297 0.00525 6e-05
66 0.49921073 0.00099 0.96003922 0.17766 0.75035 0.00485 5e-05
67 0.50093906 0.00093 0.95968095 0.17964 0.74778 0.00452 4e-05
68 0.501984 0.00099 0.95926771 0.18136 0.74541 0.00418 4e-05
69 0.4996308 0.00113 0.95880303 0.18269 0.7433 0.00384 3e-05
70 0.49963207 0.00106 0.95837726 0.18413 0.741 0.00364 3e-05
71 0.50163443 0.00098 0.95796487 0.18564 0.73869 0.00346 3e-05
72 0.50041257 0.00101 0.9575899 0.18746 0.73603 0.0033 2e-05
73 0.50075727 0.00111 0.95706656 0.18909 0.73353 0.00306 2e-05
74 0.5011629 0.00099 0.95661538 0.1907 0.73117 0.00282 2e-05
75 0.50003697 0.00106 0.95617484 0.19233 0.72864 0.00266 2e-05
76 0.50027973 0.00102 0.95579268 0.19394 0.72624 0.00244 1e-05
77 0.50063637 0.00102 0.95533753 0.19541 0.72395 0.00224 1e-05
78 0.50140758 0.00075 0.95503681 0.19721 0.72154 0.0021 1e-05
79 0.50016275 0.00097 0.95460176 0.19893 0.71898 0.00197 1e-05
80 0.49960901 0.00084 0.95425747 0.20041 0.71674 0.00189 1e-05
