 baseline_total baseline_best total the_best top_95 top_90 top_80
1 0.50110975 0.00102 0.75046748 0.00732 0.19534 0.12873 0.19167
2 0.49993119 0.00089 0.83337127 0.01309 0.29197 0.1669 0.21445
3 0.50176545 0.00102 0.87458583 0.01815 0.36676 0.1857 0.2127
4 0.4990746 0.00096 0.8990293 0.02249 0.42796 0.19461 0.19951
5 0.50067266 0.00089 0.91535427 0.02726 0.47836 0.19779 0.18339
6 0.49942492 0.00091 0.92701303 0.03149 0.52136 0.19751 0.16586
7 0.50090294 0.00086 0.93545228 0.03581 0.55782 0.19449 0.14817
8 0.50092168 0.00108 0.941883 0.03946 0.58943 0.18925 0.13209
9 0.50054276 0.00117 0.94676002 0.043 0.61665 0.18365 0.11661
10 0.50057929 0.00101 0.95081077 0.04682 0.64046 0.17653 0.10314
11 0.50081248 0.00105 0.95406559 0.05 0.66246 0.16833 0.09102
12 0.50065743 0.00095 0.95682802 0.0534 0.68118 0.1605 0.07994
13 0.50012721 0.00093 0.95916166 0.0571 0.69687 0.1531 0.07017
14 0.50110774 0.00098 0.96108153 0.06041 0.71187 0.14486 0.06158
15 0.49944728 0.00113 0.96257697 0.06372 0.7248 0.13692 0.05385
16 0.50082085 0.00087 0.96394318 0.06726 0.73542 0.12995 0.04726
17 0.50052676 0.00098 0.96498036 0.07042 0.74516 0.12257 0.04178
18 0.50104942 0.00105 0.96592831 0.07353 0.75396 0.11558 0.03673
19 0.50049392 0.00095 0.96677973 0.07681 0.76181 0.10868 0.03219
20 0.50087936 0.00088 0.96750555 0.07976 0.76859 0.1021 0.02853
21 0.50089297 0.00094 0.96810098 0.08275 0.77458 0.09586 0.02511
22 0.49985768 0.0009 0.96855196 0.08539 0.77984 0.09051 0.02184
23 0.50039496 0.00094 0.96897144 0.08834 0.7843 0.08495 0.01926
24 0.50016882 0.001 0.96931937 0.09122 0.78825 0.07973 0.01682
25 0.50073787 0.00109 0.96948981 0.09382 0.79155 0.0749 0.01476
26 0.49964818 0.00102 0.96970595 0.09628 0.79456 0.07006 0.01319
27 0.49888652 0.00107 0.96991905 0.09887 0.79738 0.06536 0.01155
28 0.50000748 0.00115 0.96996902 0.10102 0.79973 0.06143 0.00987
29 0.49877088 0.00116 0.97000003 0.10367 0.80124 0.05749 0.00853
30 0.5000902 0.00084 0.97007392 0.10623 0.80286 0.05347 0.00759
31 0.50093648 0.00126 0.96990426 0.10823 0.80416 0.0499 0.00664
32 0.50010078 0.00105 0.96987218 0.11069 0.80452 0.04681 0.0059
33 0.50028413 0.00108 0.96982096 0.11279 0.80502 0.04386 0.00518
34 0.50107656 0.00101 0.96967858 0.11506 0.80511 0.04101 0.00467
35 0.49969058 0.00096 0.96965085 0.11728 0.80539 0.03809 0.00415
36 0.5008171 0.00107 0.96938368 0.11985 0.80457 0.03561 0.00383
