position baseline_total baseline_best total the_best top_95 top_90 top_80
1 0.5004803164000001 0.0010018 0.7501477740000003 0.0074855999999999985 0.19472619999999996 0.12964340000000002 0.19088190000000005
2 0.5005698538000001 0.0010026 0.8331236530000002 0.012926400000000003 0.29214159999999995 0.16677610000000004 0.21207199999999995
3 0.5005566658 0.0009880999999999996 0.8743299031999997 0.017924499999999996 0.3669101000000002 0.18626800000000002 0.20970459999999988
4 0.5003674659999999 0.0010022999999999998 0.8988579251999996 0.022570299999999998 0.4274148999999998 0.19577009999999995 0.19766239999999993
5 0.5004382758000002 0.0010094000000000004 0.9150455101999995 0.026964199999999983 0.4778605999999999 0.19913079999999997 0.18160240000000002
6 0.5005134005 0.0009801999999999996 0.9264735983 0.031181899999999988 0.5206162000000003 0.19848080000000007 0.1642466
7 0.5007267668999998 0.0010018 0.9349144091999997 0.035217099999999994 0.5573091000000001 0.19513439999999996 0.14708860000000004
8 0.5004741354000003 0.0009998000000000003 0.9413778314000001 0.0391346 0.5890850000000003 0.18999280000000007 0.13080339999999996
9 0.5005084922 0.0009993000000000003 0.9464416411000001 0.04292899999999999 0.6166877999999998 0.18366779999999994 0.11581769999999998
10 0.5005088212000001 0.0009936 0.9504968835000003 0.04656659999999999 0.6409609999999994 0.17651139999999996 0.10217209999999997
11 0.5004474216 0.0010086000000000001 0.9537734476999998 0.050080300000000015 0.6623242 0.16882669999999997 0.0899196
12 0.5005970724999999 0.0010155999999999997 0.9564677544999998 0.0534938 0.6810247999999999 0.1609866000000001 0.07904680000000001
13 0.5006471436999999 0.0009885 0.9587271109000001 0.056931099999999984 0.6974708000000003 0.153163 0.06929519999999999
14 0.5004610292999999 0.0009805 0.9606185714000002 0.060301299999999995 0.7120217000000002 0.1452868999999999 0.06074320000000001
15 0.5005442940999998 0.0010115 0.9621904994 0.06353130000000004 0.7249258000000001 0.13750329999999997 0.05321820000000001
16 0.5004103173 0.0009925000000000001 0.9635281290999997 0.06669570000000001 0.7363504999999999 0.1299003 0.046642599999999985
17 0.500464215 0.0009882999999999997 0.9646749157000005 0.06983599999999997 0.7463462 0.1226525 0.040832
18 0.5002982140000001 0.0009998 0.9656336576000004 0.07287029999999999 0.7551751 0.11564429999999998 0.03577550000000001
19 0.5002989462 0.0010149999999999998 0.9664367211 0.07582799999999998 0.7629816999999997 0.10894639999999998 0.031295199999999995
20 0.5004925248000002 0.0010055 0.9671151228000002 0.07874729999999999 0.7697926999999999 0.1025568 0.027403799999999992
21 0.5003678619000003 0.0009911000000000002 0.9677086575000001 0.08162570000000004 0.7757766000000003 0.09647260000000005 0.023995000000000006
22 0.5004713669000002 0.0009889 0.9682075339 0.08445020000000002 0.7810960000000001 0.09063660000000004 0.0209653
23 0.5004882348999999 0.0009831999999999998 0.9686219703999996 0.08726619999999997 0.7856573000000003 0.08509699999999999 0.01835360000000001
24 0.5004525366000001 0.0009968999999999998 0.9689653397000001 0.09003030000000005 0.7895783000000003 0.07987130000000002 0.016057199999999997
25 0.5005135489999999 0.0009897999999999999 0.9692440372000002 0.09275209999999999 0.7929445999999998 0.07492560000000002 0.014048200000000004
26 0.5004285122000001 0.0010222 0.9694413628000004 0.09542550000000004 0.7956934 0.0703209 0.012297700000000005
27 0.5004370810000001 0.0010061 0.9696054246 0.09803320000000004 0.7981022999999999 0.06590290000000003 0.0107667
28 0.5005106218 0.0009928000000000003 0.9697209878000003 0.10061820000000003 0.8000709 0.06176030000000001 0.009415699999999997
29 0.5003332325000001 0.0010084 0.9697904390000002 0.1031765 0.8015980000000004 0.05788430000000003 0.008239100000000003
30 0.5005317543000001 0.0010091000000000002 0.9698219147000003 0.1056617999999999 0.8028189000000003 0.05423150000000001 0.0072097
31 0.5007186204 0.0010042999999999999 0.9698265827999998 0.1081721 0.8036327 0.0508329 0.006300200000000002
32 0.5004664788999998 0.0010081 0.9697905139000008 0.11063310000000005 0.8041762999999998 0.047619100000000004 0.005521699999999999
33 0.5005616974999999 0.0010058999999999997 0.9697338477000003 0.11305179999999998 0.8044904000000002 0.044569799999999986 0.0048457
34 0.5004816973999998 0.0009655999999999998 0.9696623094 0.11546169999999999 0.8045730999999999 0.04172400000000001 0.004244500000000001
35 0.5006263987000001 0.0010120000000000005 0.9695543519000005 0.11778999999999998 0.8044507999999999 0.039038199999999995 0.0037225
36 0.5004955653 0.0009946 0.9694318766000002 0.12012390000000005 0.8040897 0.036540300000000005 0.0032608000000000003
37 0.5005182538999997 0.0009972999999999998 0.9692902935000001 0.12244139999999999 0.8035360000000001 0.0341782 0.0028670999999999996
38 0.500279924 0.0010045 0.9691205368999996 0.1247166 0.8028185000000002 0.031971700000000006 0.0025150000000000007
39 0.5006514208999999 0.0010101000000000005 0.9689329841000002 0.1269607 0.8019193000000004 0.02992659999999999 0.0022080999999999993
40 0.5005631559000002 0.0009922 0.9687394999000003 0.1292465 0.8008594999999998 0.0279863 0.0019320999999999993
41 0.5005760239999998 0.0009953999999999996 0.9685315462999995 0.13144219999999995 0.7997319000000002 0.026157900000000005 0.0016981999999999995
42 0.5006126287 0.0010033 0.9683067424000005 0.13360570000000002 0.7984549000000003 0.02447409999999999 0.0014945000000000002
43 0.5005249581 0.0010165000000000003 0.968064545 0.13574350000000004 0.7970916000000002 0.022865799999999988 0.0013132000000000003
44 0.5004228453 0.0010082 0.9678172954999998 0.1378568 0.7956070000000001 0.021385900000000003 0.0011569999999999998
45 0.5006331816999999 0.0009849999999999995 0.9675645593 0.1399761 0.7940166999999999 0.020010900000000005 0.0010184999999999997
46 0.5006076749999999 0.0009968 0.9673017763999998 0.14205349999999997 0.7923651 0.0187164 0.0008906999999999996
47 0.5005396564000001 0.0010009 0.9670243382999996 0.14411090000000004 0.7906313 0.017505900000000005 0.0007770000000000003
48 0.5005671628 0.0009964000000000002 0.9667369578999996 0.14614709999999997 0.7888072999999995 0.016391799999999998 0.0006825000000000002
49 0.5005170994999999 0.0009926999999999996 0.9664398342999998 0.1481822000000001 0.7869243999999999 0.0153254 0.0006041
50 0.5006242940000001 0.0010275999999999992 0.9661226823000001 0.15015620000000005 0.7849861 0.014337400000000002 0.0005290000000000001
51 0.5004477764999999 0.0009994999999999995 0.9658063900999998 0.15213259999999995 0.7829828000000002 0.0134295 0.00046440000000000007
52 0.5006758861999999 0.0010007999999999996 0.9654937702 0.1541237 0.7809151000000004 0.012563599999999998 0.00040619999999999995
